,Log (Decay Rate) (mV/h)
430,0.382017043
431,-2.01
432,0.045322979
433,1.453624074
434,2.102021857
435,0.896526217
436,0.411619706
437,-1.698970004
438,1.269512944
439,-0.060480747
440,0.271841607
441,-0.22184875
442,-0.552841969
443,-0.075720714
444,0.586587305
445,0.371067862
446,-1.15490196
447,0.356025857
448,-0.638272164
449,-1.602059991
450,-0.638272164
451,-0.48148606
452,1.014100322
